date [mm-dd-yyyy]; recording company; matrix number; title; artist(s)
01-06-1927; Victor; CVE-37702; Closing scene; Philadelphia Orchestra ; Leopold Stokowski
01-06-1927; Columbia; W143241; In a little Spanish town; Harold L. Rieder
01-06-1927; Columbia; W143242; Mary Lou; Harold L. Rieder
01-06-1927; Columbia; 143265; Cock-a-doodle, I'm off my noodle, my baby's back; Night Club Orchestra ; Tom Stacks
01-06-1927; Columbia; 143266; Pretty lips; Night Club Orchestra ; Tom Stacks
01-06-1927; Columbia; 143267; Oh how she could play a ukulele; Night Club Orchestra ; Tom Stacks
01-06-1927; Columbia; W98307; The desert song : Vocal gems; Columbia Light Opera Company
01-06-1927; Columbia; W98308; Oh, Kay! : Vocal gems; Columbia Light Opera Company
01-06-1927; Okeh; W80290; The little white house (At the end of Honeymoon Lane); Tom Stacks and his Minute Men
01-06-1927; Okeh; W80291; Jersey walk (Shake 'em up, kid); Tom Stacks and his Minute Men
01-06-1927; Brunswick; E4358-E4360; High-high-high up in the hills (Watching the clouds roll by); Peggy English
01-06-1927; Brunswick; E4361-E4363; How long must I wait for you; Peggy English
01-06-1927; Brunswick; E21121-E21122; The old fashioned meeting; Homer A. Rodeheaver
01-06-1927; Brunswick; E21123-E21125; Carry your cross with a smile; Homer A. Rodeheaver
01-06-1927; Brunswick; E21126-E21129; The little white house (At the end of Honeymoon Lane); Frank Munn
01-06-1927; Brunswick; E21130-E21131; Face to face; Homer A. Rodeheaver
01-06-1927; Brunswick; E21132-E21133; The unclouded day; Homer A. Rodeheaver
01-06-1927; Brunswick; E21134-E21135; Stand up for Jesus; Homer A. Rodeheaver
01-06-1927; Edison; 11417; I never see Maggie alone; Sherman and Ryan
01-06-1927; Edison; 11418; We're the Sunday drivers; Macy and Smalle
01-06-1927; Edison; 11419; She said and I said; Macy and Smalle
01-06-1927; Gramophone; CR909; Prometheus : Overture; Albert Coates ; London Symphony Orchestra
01-06-1927; Plaza; 7034; Cock-a-doodle, I'm off my noodle (My baby's back); Bill Perry's Band
01-07-1927; Victor; BVE-37342; Es porque te amo; José Moriche
01-07-1927; Victor; BVE-37343; Rosita; José Moriche
01-07-1927; Victor; BVE-37409; Crazy words, crazy tune; Irving Aaronson ; Commanders
01-07-1927; Victor; BVE-37410; I never see Maggie alone; Irving Aaronson ; Commanders
01-07-1927; Victor; BVE-37522; Flapperette; Victor Orchestra
01-07-1927; Victor; BVE-37523; Prudy; Zez Confrey Orchestra
01-07-1927; Victor; BVE-37524; Barnyard reel; Victor Orchestra
01-07-1927; Victor; BVE-37525; To-night you belong to me; Pauline Alpert
01-07-1927; Victor; BVE-37526; The little white house (At the end of Honeymoon Lane); Pauline Alpert
01-07-1927; Victor; Trial 1927-01-07-01; Landler; Oscar Shumsky
01-07-1927; Victor; Trial 1927-01-07-02; Orientale; Oscar Shumsky
01-07-1927; Columbia; W143243; It made you happy when you made me cry; Harold L. Rieder
01-07-1927; Columbia; W143244; Trail of dreams; Harold L. Rieder
01-07-1927; Columbia; W143254; I never see Maggie alone; Al Lentz Orchestra
01-07-1927; Columbia; W143255; If I didn't know your husband and you didn't know my wife; Al Lentz Orchestra ; Irving Doonan
01-07-1927; Columbia; W143256; If you can't tell the world she's a good little girl, just say nothing at all; Al Lentz Orchestra ; Al Lentz
01-07-1927; Columbia; W143257; Sam, the old accordion man; Al Lentz Orchestra
01-07-1927; Okeh; W80292; I'm tellin' the birds—tellin' the bees, how I love you; Vaughn De Leath
01-07-1927; Okeh; W80293; I gotta get myself somebody to love; Vaughn De Leath
01-07-1927; Brunswick; E21136-E21137; Carry thy burden to Jesus; Homer A. Rodeheaver
01-07-1927; Brunswick; E21138-E21139; No disappointment in heaven; Elizabeth Lennox ; Homer A. Rodeheaver
01-07-1927; Brunswick; E21140-E21141; Softly and tenderly; Homer A. Rodeheaver
01-07-1927; Brunswick; E21142-E21144; Sam, the old accordion man; Selvin’s Orchestra
01-07-1927; Brunswick; E21145-E21147; Here or there (As long as I'm with you); Selvin’s Orchestra
01-07-1927; Brunswick; E21148-E21149; Blue skies; Casa Lopez Orchestra ; Vincent Lopez
01-07-1927; Brunswick; E21150-E21152; Since I found you; Casa Lopez Orchestra ; Vincent Lopez
01-07-1927; Edison; 11420; One alone; Palais D'Or Orchestra ; B. A. Rolfe
01-07-1927; Edison; 11421; "Je t'aime" means "I love you"; Palais D'Or Orchestra ; B. A. Rolfe
01-07-1927; Plaza; 7038; Take your finger out of your mouth (I want a kiss from you); Fred Rich Orchestra
01-07-1927; Plaza; 7044; A tree in the park; Artie Dunn ; Sammy Fain ; Fred Rich Orchestra
01-07-1927; Plaza; 7045; (I wonder - I wonder - I wonder) I wonder how I look when I'm asleep; Fred Rich Orchestra
01-07-1927; Columbia (U.K.); WLX27; Air de Jean; Fernand Heurteur ; Georges Thill
01-07-1927; Columbia (U.K.); WLX34; Lohengrin; Fernand Heurteur ; Andrée Marilliet
01-07-1927; Columbia (U.K.); WL344; Pas comme avec toi; Lucienne Boyer ; Georges van Parys
01-07-1927; Columbia (U.K.); WL345; Youp et youps; Lucienne Boyer ; Georges van Parys
01-07-1927; Columbia (U.K.); WL346; La Marseillaise; Garde Républicaine Band
01-07-1927; Columbia (U.K.); WL348; Chant d'amour de Siegmund; Georges Thill
01-07-1927; Columbia (U.K.); WL351; Ca c'est Paris!; Columbia Dance Orchestra
01-07-1927; Columbia (U.K.); WL352; Lina; Columbia Dance Orchestra
01-07-1927; Columbia (U.K.); WL353; Si l'on voyait c'qu'il y a derriere; Columbia Dance Orchestra
01-07-1927; Columbia (U.K.); WL354; Marie; Columbia Dance Orchestra
01-08-1927; Victor; CVE-37344; Maryland, my Maryland; M. J. Carey
01-08-1927; Victor; BVE-37345; Hello, blue bird; M. J. Carey
01-08-1927; Victor; BVE-37346; Annie Laurie; M. J. Carey
01-08-1927; Victor; BVE-37347; A merry old monarch am I; E. C. Malarkey
01-08-1927; Columbia; W143268; Delilah; The Knickerbockers
01-08-1927; Columbia; W143269; I found a million-dollar baby (In a five-and-ten-cent store); The Knickerbockers
01-08-1927; Columbia; 143270; Moonbeam! Kiss her for me; Irving Kaufman
01-08-1927; Columbia; 143271; Blue skies; Irving Kaufman
01-08-1927; Columbia; 143272; Forgive me; Irving Kaufman
01-08-1927; Brunswick; E4364-E4366; He's the last word; Chick Endor
01-08-1927; Brunswick; E4373-E4374; [Renumbering of E21116-E21117]; Artists vary
01-08-1927; Brunswick; E21153-E21154; The church by the side of the road; Homer A. Rodeheaver
01-08-1927; Brunswick; E21155-E21156; I need Jesus; Homer A. Rodeheaver
01-08-1927; Columbia (U.K.); WLX29; Je suis aimé de toi; Fernand Heurteur ; Georges Thill
01-08-1927; Columbia (U.K.); WLX30; Il était un roi de Thulé; Élie Cohen ; Marcelle Denya
01-09-1927; Columbia; W143273; My little bunch of happiness; Leo Reisman Orchestra
01-09-1927; Columbia; W143274; Still waters; Leo Reisman Orchestra
01-09-1927; Columbia; W143275; Angel eyes; Leo Reisman Orchestra
01-09-1927; Columbia; W143276; Silver song bird; Leo Reisman Orchestra
01-09-1927; Columbia; W143277; Lonely (J'ai pas su y faire); Leo Reisman Orchestra
01-10-1927; Victor; BVE-29976; Mussolini; International Band
01-10-1927; Victor; BVE-37527; Make me love you; Duke Ellington Orchestra ; Evelyn Preer
01-10-1927; Victor; BVE-37528; If you can't hold the man you love (Don't cry when he's gone); Duke Ellington Orchestra ; Evelyn Preer
01-10-1927; Victor; BVE-37529; Harlem shuffle; Lloyd Scott Orchestra
01-10-1927; Victor; BVE-37530; Symphonic scronch; Lloyd Scott Orchestra
01-10-1927; Victor; BVE-37531; Happy hour; Lloyd Scott Orchestra
01-10-1927; Victor; BVE-37611; Drue Chueli; Gebrüder Moser
01-10-1927; Victor; BVE-37612; Luschtig sy; Gebrüder Moser
01-10-1927; Victor; BVE-37613; Bueb von Aemmithal; Gebrüder Moser
01-10-1927; Victor; BVE-37614; S' Heimelig; Gebrüder Moser
01-10-1927; Victor; BVE-37615; Bi ues im Baernerland; Gebrüder Moser
01-10-1927; Victor; BVE-37616; Zweu Schuemeli; Gebrüder Moser
01-10-1927; Victor; BVE-37617; Baerner Baer; Gebrüder Moser
01-10-1927; Victor; BVE-37618; Burechaetzi; Gebrüder Moser
01-10-1927; Victor; BVE-37619; Der Aelpler; Alfred Moser
01-10-1927; Victor; BVE-37620; Wenn der Fruehling Wieder neu Erwacht; Gebrüder Moser
01-10-1927; Victor; BVE-37621; Der Boedeler; Alfred Moser
01-10-1927; Victor; BVE-37703; La democracía; International Band
01-10-1927; Victor; BVE-37704; Soldiers of Erin; Ridgely's 69th Regimental Band
01-10-1927; Victor; BVE-37705; O'Donnell Aboo; Ridgely's 69th Regimental Band
01-10-1927; Victor; BVE-37706; Erminia; International Band
01-10-1927; Columbia; 143278; Blue skies; Astorites ; Tom Martin
01-10-1927; Columbia; 143279; Half a moon; Astorites ; Tom Martin
01-10-1927; Columbia; 143280; I never see Maggie alone; Astorites ; Tom Martin
01-10-1927; Columbia; W143281; A tree in the park; Harry Reser's Syncopators ; Tom Stacks
01-10-1927; Columbia; W143282; A tree in the park; Harry Reser's Syncopators ; Tom Stacks
01-10-1927; Columbia; W143283; The palms; Fraser Gange
01-10-1927; Columbia; W143284; Hosanna!; Fraser Gange
01-10-1927; Okeh; W80294; In a little Spanish town 'twas on a night like this; Russell Douglas
01-10-1927; Okeh; W80295; I've grown so lonesome thinking of you; Russell Douglas
01-10-1927; Edison; 11422; At the end of the way; Homer A. Rodeheaver
01-10-1927; Edison; 11423; So wonderful; Homer A. Rodeheaver
01-11-1927; Victor; BVE-27731; Serenade; Geraldine Farrar
01-11-1927; Victor; CVE-37348; Pur dicesti, o bocca bella; Geraldine Farrar
01-11-1927; Victor; CVE-37349; Dove sono i bei momemti; Geraldine Farrar
01-11-1927; Victor; CVE-37350; Auf Flügeln des Gesanges; Geraldine Farrar
01-11-1927; Victor; BVE-37350; Auf Flügeln des Gesanges; Geraldine Farrar
01-11-1927; Victor; BVE-37411; Katie Connor; Three Leaf Shamrock Orchestra
01-11-1927; Victor; BVE-37412; When you are gone; Katherine W. Rose
01-11-1927; Victor; CVE-37413; Songs my mother taught me; Katherine W. Rose
01-11-1927; Victor; BVE-37414; Vissi d'arte; Katherine W. Rose
01-11-1927; Victor; BVE-37532; Crazy words, crazy tune (Vo-do-de-o); Frank Crumit
01-11-1927; Victor; BVE-37533; I miss you, 'Lize; Frank Crumit
01-11-1927; Victor; BVE-37534; Ya gonna be home to-night (Oh yeh? Then I'll be over); Smith Brothers
01-11-1927; Victor; BVE-37535; Who do you love?; Smith Brothers
01-11-1927; Victor; CVE-37622; Non è ver; Francesco Marina
01-11-1927; Victor; CVE-37623; Non tornó; Francesco Marina
01-11-1927; Victor; CVE-37624; Torna a Surriento; Giuseppe Godono
01-11-1927; Victor; CVE-37625; Santa Lucia luntana; Giuseppe Godono
01-11-1927; Victor; BVE-37707; Rendez-vous; Victor Salon Orchestra
01-11-1927; Victor; BVE-37708; La czarine; Victor Salon Orchestra
01-11-1927; Victor; BVE-37709; Delilah; Roger Wolfe Kahn Orchestra
01-11-1927; Victor; BVE-37710; Following you around; Roger Wolfe Kahn Orchestra
01-11-1927; Victor; Unnumbered 1927-01-11-01; Medley of songs; Victor Salon Orchestra
01-11-1927; Columbia; 143285; Forgive me; Murray Amster ; Lou Gold Orchestra
01-11-1927; Columbia; 143286; Moonbeam! Kiss her for me; Murray Amster ; Lou Gold Orchestra
01-11-1927; Columbia; 143287; Who'll be the one?; Murray Amster ; Lou Gold Orchestra
01-11-1927; Columbia; W143288; Satisfied there; Doris Doe ; Homer A. Rodeheaver
01-11-1927; Columbia; W143289; The unclouded day; Doris Doe ; Homer A. Rodeheaver
01-11-1927; Brunswick; E4378-E4379; I'm gonna moan my blues away; Blind Richard Yates
01-11-1927; Brunswick; E4380-E4381; Wayward roamer blues; Blind Richard Yates
01-11-1927; Edison; 11424; Bridget O'Flynn (Where've ya been?); Sherman and Ryan
