date [mm-dd-yyyy]; recording company; matrix number; title; artist(s)
06-20-1927; Edison; 11747; Honeysuckle Lane; Al Friedman Orchestra ; Leroy Montesanto
06-20-1927; Edison; 11748; Somebody else; Al Friedman Orchestra ; Leroy Montesanto
06-20-1927; Edison; 11749; Cornfed; Joe Herlihy Orchestra
06-20-1927; Edison; 11750; State and Madison; Joe Herlihy Orchestra
06-20-1927; Edison; EXP-109; Experimental disc recording-109 (450 tpi); Hotel Carlton Terrace Orchestra ; Mike Speciale
06-20-1927; Gramophone; BW1159; Geburtstags feier; Wolfgang Hoffmann-Harnisch
06-20-1927; Gramophone; BS1160; Geburtstags feier; Wolfgang Hoffmann-Harnisch
06-20-1927; Gramophone; CR1385; Trio in D minor; Pablo Casals ; Alfred Cortot ; Jacques Thibaud
06-20-1927; Gramophone; CR1386; Trio in D minor; Pablo Casals ; Alfred Cortot ; Jacques Thibaud
06-20-1927; Gramophone; CR1387; Trio in D minor; Pablo Casals ; Alfred Cortot ; Jacques Thibaud
06-20-1927; Gennett; 12869; Skansen waltz; John Strom and How
06-20-1927; Gennett; 12870; Waltz by the river; John Strom and How
06-20-1927; Gennett; 12871; Jampland's mazurka; John Strom and How
06-20-1927; Gennett; 12872; Grasshopper polka; John Strom and How
06-20-1927; Gennett; 12873; Indiana; Gold Medal Four
06-20-1927; Gennett; 12874; Glory to God he's come home; Ruth Donaldson and Helen Jepsen
06-20-1927; Gennett; 12875; When I take my vacation in heaven; Ruth Donaldson and Helen Jepsen
06-20-1927; Gennett; 12876; I'm going higher someday; Ruth Donaldson ; Helen Jepsen
06-20-1927; Gennett; 12877; You must unload; Ruth Donaldson ; Helen Jepsen
06-20-1927; Gennett; 12878; Sad 'n blue; Lucille Segal
06-21-1927; Victor; BVE-38960; Bells of Killarney; The Silver-Masked Tenor [i.e., Joseph M. White]
06-21-1927; Victor; BVE-38961; Watching the world go by; The Silver-Masked Tenor [i.e., Joseph M. White]
06-21-1927; Victor; BVE-38962; Mother; Edna Indermauer
06-21-1927; Victor; CVE-39043; Canzone melodiche italiane; Partipilo's Mandolin Orchestra
06-21-1927; Victor; CVE-39044; Canzone melodiche italiane; Partipilo's Mandolin Orchestra
06-21-1927; Victor; BVE-39045; In a little Spanish town; Partipilo's Mandolin Orchestra
06-21-1927; Victor; BVE-39046; Russian lullaby; Partipilo's Mandolin Orchestra
06-21-1927; Victor; BVE-39047; Il ritorno di cino dall' America; Partipilo's Mandolin Orchestra
06-21-1927; Victor; BVE-39048; Nicola parte per l'America; Partipilo's Mandolin Orchestra
06-21-1927; Victor; BVE-39277; God is here; H. C. Miller
06-21-1927; Victor; BVE-39278; At dawning; H. C. Miller
06-21-1927; Victor; BVE-39279; Itchin' fingers; Art Kahn ; Roy Smeck
06-21-1927; Victor; BVE-39280; Cheerie-beerie-be; Art Kahn
06-21-1927; Victor; BVE-39281; Banjokes; Art Kahn ; Roy Smeck
06-21-1927; Victor; BVE-39282; The ghost of the banjo; Art Kahn ; Roy Smeck
06-21-1927; Victor; BVE-39410; Ricordo del carnevale; Lombardi's Italian Sextette
06-21-1927; Victor; BVE-39411; Erminia; Lombardi's Italian Sextette
06-21-1927; Victor; BVE-39412; Un fiorellino nel prato; Lombardi's Italian Sextette
06-21-1927; Victor; BVE-39414; Abbruzzese; Lombardi's Italian Sextette
06-21-1927; Victor; BVE-39415; Cielo stellato; Lombardi's Italian Sextette
06-21-1927; Victor; BVE-39416; Fiorina; Lombardi's Italian Sextette
06-21-1927; Victor; [Trial 1927-06-21-01]; Takes a better man; Aunt Jemima
06-21-1927; Victor; [Trial 1927-06-21-02]; Aviator; McIntyre & Heath
06-21-1927; Victor; [Trial 1927-06-21-03]; Hawaiian blues; Sam Ku, Jr.
06-21-1927; Columbia; W144174; Oshkosh; Rubeville Tuners ; Dale Wimbrow
06-21-1927; Columbia; W144176; Roll right offa my green; Rubeville Tuners ; Dale Wimbrow
06-21-1927; Columbia; W144295; Flapperette; Art Kahn
06-21-1927; Columbia; W144296; Cheerie-beerie-be; Art Kahn
06-21-1927; Columbia; W144353; Song of the wanderer; Milton Charles
06-21-1927; Columbia; W144354; When day is done; Milton Charles
06-21-1927; Okeh; W81035; 'O sole mio; Ferera and Paaluhi
06-21-1927; Okeh; W81036; Cielito lindo; Ferera and Paaluhi
06-21-1927; Okeh; W81037; There'll be some changes made; Eddie Lang ; Red McKenzie ; Music Box ; Joe Venuti
06-21-1927; Okeh; W81038; My syncopated melody man; Eddie Lang ; Red McKenzie ; Music Box ; Joe Venuti
06-21-1927; Brunswick; E2366-E2368½; Me and my shadow; Victor Arden ; Phil Ohman
06-21-1927; Brunswick; E23678-E23679; Marsz lej Brygady; Józef Kallini
06-21-1927; Brunswick; E23680-E23681; Nie rzucim ziemi; Józef Kallini
06-21-1927; Brunswick; E23682; Podla dola; Józef Kallini
06-21-1927; Brunswick; E23684-E23685; Hop! Siup, siup!; Józef Kallini
06-21-1927; Brunswick; E23689-E23692; Broken hearted; Victor Arden ; Phil Ohman
06-21-1927; Brunswick; XE23693-XE23694; Veilirusholeim Jircho; Israel Schorr
06-21-1927; Brunswick; XE23695-XE23696; Leifichoch anachnu Chajowim; Israel Schorr
06-21-1927; Brunswick; XE23697-XE23698; Ribon Hoeilomin; Israel Schorr
06-21-1927; Brunswick; XE23699-XE23700; Ribon Hoeilomin; Israel Schorr
06-21-1927; Brunswick; E23701-E23703; Don’t play Aloha oe when I go; Royal Hawaiians
06-21-1927; Brunswick; E23704-E23706; The hula blues; Royal Hawaiians
06-21-1927; Edison; 11751; When day is done; Frederick Kinsley
06-21-1927; Edison; 11752; Just an ivy covered shack; Frederick Kinsley
06-21-1927; Gramophone; CR1389; Trio in D minor; Pablo Casals ; Alfred Cortot ; Jacques Thibaud
06-21-1927; Gramophone; CR1390; Trio in D minor; Pablo Casals ; Alfred Cortot ; Jacques Thibaud
06-21-1927; Gramophone; CR1391; Trio in D minor; Pablo Casals ; Alfred Cortot ; Jacques Thibaud
06-21-1927; Gramophone; CR1392; Trio in D minor; Pablo Casals ; Alfred Cortot ; Jacques Thibaud
06-21-1927; Gramophone; CR1393; Trio in D minor; Pablo Casals ; Alfred Cortot ; Jacques Thibaud
06-21-1927; Gramophone; BR1394; Seven variations on a theme from The magic flute, part 1; Pablo Casals ; Alfred Cortot
06-21-1927; Gramophone; BR1395; Seven variations on a theme from The magic flute, part 2; Pablo Casals ; Alfred Cortot
06-21-1927; Gramophone; BR1396; Seven variations on a theme from The magic flute, part 3; Pablo Casals ; Alfred Cortot
06-21-1927; Gramophone; BR1397; Seven variations on a theme from The magic flute, part 4; Pablo Casals ; Alfred Cortot
06-21-1927; Gramophone; CK2181; Walpurga : Ballad; Prager Sangerchor "Smetana"
06-21-1927; Gramophone; CK2182; Walpurga : Ballad; Prager Sangerchor "Smetana"
06-21-1927; Gennett; 12879; U-bats (U-boat); Erickson and Anderson
06-21-1927; Gennett; 12880; Klack (Heel); Erickson and Anderson
06-21-1927; Gennett; 12881; Loftena kunna ej svika; Faith Gospel Male Quartette
06-21-1927; Gennett; 12882; Tell Mother I'll be there; Faith Gospel Male Quartette
06-21-1927; Gennett; 12883; Comrade two-step; O.K. Dance Orchestra
06-22-1927; Victor; CVE-15037; The heart bow'd down; Clarence Whitehill
06-22-1927; Victor; BVE-39049; The suffering redeemer; Perry Kim ; Einar Nyland
06-22-1927; Victor; BVE-39050; The old account settled long ago; Perry Kim ; Einar Nyland
06-22-1927; Victor; BVE-39051; It was for me; Perry Kim ; Einar Nyland
06-22-1927; Victor; BVE-39052; Keep me on the firing line, Jesus; Perry Kim ; Einar Nyland
06-22-1927; Victor; BVE-39283; Just once again; Paul Whiteman Orchestra
06-22-1927; Victor; BVE-39284; Under the moon (Yoo-oo-oo-oo); Johnny Marvin ; Aileen Stanley
06-22-1927; Victor; BVE-39285; I walked back from the buggy ride; Johnny Marvin ; Aileen Stanley
06-22-1927; Victor; BVE-39417; Fireside tales : Of Br'er Rabbit; Myrtle C. Eaver
06-22-1927; Victor; BVE-39418; Wodland sketches : Will-o'-the-wisp; Myrtle C. Eaver
06-22-1927; Victor; BVE-39419; If; Florence Higgins Butler
06-22-1927; Victor; BVE-39420; Her words; Florence Higgins Butler
06-22-1927; Columbia; W144297; King Jesus is my captain; Birmingham Jubilee Singers
06-22-1927; Columbia; W144298; Don't you want that stone?; Birmingham Jubilee Singers
06-22-1927; Columbia; W144299; God is love; Birmingham Jubilee Singers
06-22-1927; Columbia; W144355; Cheerie beerie be; Milton Charles
06-22-1927; Columbia; W144356; At sundown (When love is calling me home); Milton Charles
06-22-1927; Columbia; W144357; Me and my shadow; Milton Charles
06-22-1927; Columbia; W144381; I heard the preachin' of the elders; Birmingham Jubilee Singers
06-22-1927; Columbia; W144382; Where are you running, sinner?; Birmingham Jubilee Singers
06-22-1927; Columbia; W144383; He died on Calvary; Birmingham Jubilee Singers
06-22-1927; Columbia; W144384; Walk in Jerusalem just like John; Birmingham Jubilee Singers
06-22-1927; Columbia; W144389; Lazy weather; Kitty O'Connor
06-22-1927; Columbia; W144390; I ain't that kind of a baby; Kitty O'Connor
06-22-1927; Columbia; W175393; [Test recording]; Pierre Pinchik
06-22-1927; Okeh; W81039; (Here I am) Broken-hearted; Lanin’s Famous Players ; Noel Taylor [Irving Kaufman]
06-22-1927; Okeh; W81040; That's Dolly; Bunny Meroff and his Orchestra [Justin Ring's OKeh Orchestra]
06-22-1927; Okeh; W81041; Meet me in the moonlight; Lanin’s Famous Players
06-22-1927; Brunswick; E23724; Charmaine; Lew White
06-22-1927; Brunswick; E6109-E6111; Goose pimples; Frank Signorelli
06-22-1927; Brunswick; E6112-E6114; A blues serenade; Frank Signorelli
06-22-1927; Brunswick; E23707-E23710; Whispering hope; Elizabeth Lennox ; Gladys Rice
06-22-1927; Brunswick; E23711-E23712; Oh promise me; Elizabeth Lennox
06-22-1927; Brunswick; E23713-E23715; Kiss me again; Gladys Rice
06-22-1927; Brunswick; E23716-E23719; At sundown; Lew White
06-22-1927; Brunswick; E23720-E23723; Forgive me; Lew White
06-22-1927; Edison; 11753; Moon shadows; B. A. Rolfe Concert Orchestra
06-22-1927; Edison; 11754; Devotion; B. A. Rolfe Concert Orchestra
06-22-1927; Edison; 11755; Just like a butterfly (That's caught in the rain); Duke Yellman Orchestra
06-22-1927; Edison; 11756; Zulu wail; Duke Yellman Orchestra
06-22-1927; Edison; 11757; Shanghai honeymoon; Duke Yellman Orchestra
06-22-1927; Gramophone; BK2183; Utonulá; Pěvecké sdružení pražských učitelů
06-22-1927; Gramophone; BK2184; Utonulá; Pěvecké sdružení pražských učitelů
06-22-1927; Gramophone; BK2185; Vovčák; Pěvecké sdružení pražských učitelů
06-22-1927; Gennett; 12884; Indiana mud; Eddie Carlew's Baby Aristocrats Orchestra
06-22-1927; Gennett; 12885; Medley of old favorites; Billy Bishop
06-22-1927; Gennett; 12886; Blue; Edythe Handman
06-22-1927; Columbia (U.K.); WAX2885; Tom Jones, selection; Band of the Grenadier Guards [U.K] ; George Miller
06-22-1927; Columbia (U.K.); WAX2886; Tom Jones, selection; Band of the Grenadier Guards [U.K] ; George Miller
06-22-1927; Columbia (U.K.); WL514; Lulu; Georges van Parys ; Pizella
06-23-1927; Victor; CVE-14969; I'll take you home again, Kathleen; Clarence Whitehill
06-23-1927; Victor; BVE-28537; Chapultepec; Orquesta Internacional
06-23-1927; Victor; BVE-39053; Stop your ticklin' me; Al Manning ; Allen Stewart
06-23-1927; Victor; BVE-39054; Dremliut piakutchie eevy; Wáclaw Janota
06-23-1927; Victor; BVE-39055; Ciganskic piesnie; Wáclaw Janota
06-23-1927; Victor; BVE-39056; Wigilia lulaj ze jezunin koleda; Polish Male Quartet
06-23-1927; Victor; BVE-39057; Z szopka; Polish Male Quartet
06-23-1927; Victor; BVE-39286; Then you'll come back to me; Nathaniel Shilkret ; Victor Orchestra
06-23-1927; Victor; BVE-39287; I love no one but you; Nathaniel Shilkret ; Victor Orchestra
06-23-1927; Victor; BVE-39288; Dawn of to-morrow; Joe Green ; Nathaniel Shilkret
06-23-1927; Victor; BVE-39421; Gid-ap Garibaldi; Pennsylvanians ; Fred Waring
06-23-1927; Columbia; W144358; Hallelujah!; Milton Charles
06-23-1927; Columbia; W144359; Forgive me; Milton Charles
06-23-1927; Columbia; W144360; Just once again; Milton Charles
06-23-1927; Columbia; W144385; Louisiana bo-bo; Birmingham Quartet
06-23-1927; Columbia; W144386; Goodbye, my Alabama babe; The Mobile Four
06-23-1927; Columbia; W144387; The steamboat; Birmingham Quartet
06-23-1927; Columbia; W144388; Bohunkus and Josephus; The Mobile Four
06-23-1927; Columbia; 144391; I ain't that kind of a baby; Harry Lambert ; The Westerners
06-23-1927; Columbia; 144392; Leonora; Broadway Bellhops ; Harry Lambert
06-23-1927; Columbia; 144393; I'm in love again; Broadway Bellhops ; Harry Lambert
06-23-1927; Columbia; W144394; Watching the world go by; Ford and Glenn
06-23-1927; Columbia; W144395; My kid; Ford and Glenn
06-23-1927; Columbia; W144396; Meet me in the moonlight; Ford and Glenn
06-23-1927; Columbia; W144397; Baby your mother (Like she babied you); Ford and Glenn
06-23-1927; Columbia; W144398; A little girl—a little boy—a little moon; Ford and Glenn
06-23-1927; Columbia; W144399; Baby feet go pitter patter (Across my floor); Ford and Glenn
06-23-1927; Columbia; W144400; Yield not to temptation; Ford and Glenn
06-23-1927; Columbia; W144401; Where is my wandering boy to-night?; Ford and Glenn
06-23-1927; Okeh; W81042; Volveras; Orquesta Criolla Tropical
06-23-1927; Okeh; W81100; Pensamiento; Orquesta Criolla Tropical
06-23-1927; Okeh; W81101; Jardin encantado; Orquesta Criolla Tropical
06-23-1927; Okeh; W81102; The mixed up blues; Anna Fritz
06-23-1927; Okeh; W81103; Fritz blues; Anna Fritz
06-23-1927; Okeh; W81104; Bongo; Adolphe Thensted's Mentor Boys ; Sam Manning
06-23-1927; Okeh; W81105; Pepper pot; Adolphe Thensted's Mentor Boys ; Sam Manning
06-23-1927; Okeh; W81106; Lignum vitae; Adolphe Thensted's Mentor Boys ; Sam Manning
06-23-1927; Okeh; W81107; Emily; Adolphe Thensted's Mentor Boys ; Sam Manning
06-23-1927; Brunswick; E23725-E23727; Oh, dry those tears!; Elizabeth Lennox
06-23-1927; Brunswick; E23728-E23729; Cradle song; Elizabeth Lennox
06-23-1927; Brunswick; [X]E23730-[X]E23731; Meditation; Max Rosen
06-23-1927; Brunswick; E23732-E23734; Bamboola; Kenn Sisson Orchestra
06-23-1927; Brunswick; E23735-E23737; Blue heaven; Kenn Sisson Orchestra
06-23-1927; Edison; 11758; Do they think of me at home; Kaplan's Melodists
06-23-1927; Edison; 11759; Sweet Marie; Arthur Fields ; Kaplan's Melodists
06-23-1927; Gramophone; BJ844; Sobaquillo; Banda del Regimento de Badajoz, No. 73
06-23-1927; Gramophone; BJ845; Lataguillo; Artists vary
06-23-1927; Gramophone; BJ846; Un bebé; Banda del Regimento de Badajoz, No. 73
06-23-1927; Gramophone; CR1420; Sonata in A major; Alfred Cortot ; Jacques Thibaud
06-23-1927; Gramophone; CR1421; Sonata in A major; Alfred Cortot ; Jacques Thibaud
06-23-1927; Gramophone; CR1422; Sonata in A major; Alfred Cortot ; Jacques Thibaud
06-23-1927; Gramophone; CR1423; Sonata in A major; Alfred Cortot ; Jacques Thibaud
06-23-1927; Gramophone; CR1424; Sonata in A major; Alfred Cortot ; Jacques Thibaud
06-23-1927; Gramophone; CR1425; Sonata in A major; Alfred Cortot ; Jacques Thibaud
06-23-1927; Plaza; 7354; I've got something in my eye (And it's you); House band [Plaza/ARC] ; Scrappy Lambert
06-23-1927; Plaza; 7355; When a nice boy meets a nice girl; House band [Plaza/ARC] ; Scrappy Lambert
06-23-1927; Columbia (U.K.); WL516; Dors, mon gars; Yves Tinayre
06-23-1927; Columbia (U.K.); WL517; La légende de Saint-Nicolas; Yves Tinayre
06-23-1927; Columbia (U.K.); WL518; Les petits nains de la montagne; Chœurs d'enfants du Cours Ginisty Brooke
06-23-1927; Columbia (U.K.); WL519; Le beau bebe; Chœurs d'enfants du Cours Ginisty Brooke
06-23-1927; Columbia (U.K.); WL521; Je suis une jeune fille honnête; Davia ; Georges van Parys ; Pizella
06-24-1927; Victor; BVE-38963; The dew is sparkling; Clarence Whitehill
06-24-1927; Victor; BVE-38964; Wy-lets; Pennsylvanians ; Fred Waring
06-24-1927; Victor; BVE-38965; Llamada de Ordenanza del Batallón Colorados; José Moriche ; Antonio P. Utrera
06-24-1927; Victor; BVE-39058; That's what I think of you; Ben Pollack Orchestra
06-24-1927; Victor; BVE-39059; Who is your who; Ben Pollack Orchestra
06-24-1927; Victor; BVE-39060; Telszu; Jeronimo Reksnis Orchestra
06-24-1927; Victor; BVE-39061; Skombalini; Jeronimo Reksnis Orchestra
06-24-1927; Victor; BVE-39062; Augina matula ven turte dukreli; A. Vinckevicius ; J. Zuka
06-24-1927; Victor; BVE-39063; Tu arekla tu pilkoia; A. Vinckevicius
06-24-1927; Victor; BVE-39289; Martha; Orquesta Internacional
06-24-1927; Victor; BVE-39290; Dame amor; Juan Pulido
06-24-1927; Victor; BVE-39291; Sing me a baby song; Vaughn De Leath
06-24-1927; Victor; BVE-39292; Who are you fooling to-night?; Vaughn De Leath
06-24-1927; Victor; CVE-39320; Introductory speech for the English-speaking Union; Sir Martin Conway
06-24-1927; Victor; BVE-39422; Sweetheart memories; Pennsylvanians ; Fred Waring
06-24-1927; Columbia; W144361; From the land of the sky blue water; Milton Charles
06-24-1927; Columbia; W144362; Love's old sweet song; Milton Charles ; Belle Forbes Cutter
06-24-1927; Columbia; W144363; Russian lullaby; Milton Charles
06-24-1927; Okeh; W81108; When day is done; Art Kahn
06-24-1927; Okeh; W81109; Cheerie-beerie-be; Art Kahn
06-24-1927; Brunswick; E6117-E6119; The band’ll play who’d a-thought it; Nannie Mckinney
06-24-1927; Brunswick; E6120-E6122; Dyin’ crap shooter’s blues; Nannie Mckinney
06-24-1927; Brunswick; E23738-E23741; Charmaine; Fredric Fradkin ; Lew White
06-24-1927; Brunswick; E23742-E23745; Forgive me; Lew White
06-24-1927; Brunswick; E23746-E23748; Number ten; Royal Flush Orchestra ; Fess Williams
06-24-1927; Brunswick; E23749-E23751; Razor edge; Royal Flush Orchestra ; Fess Williams
06-24-1927; Edison; 11760; Gonna get a girl; Palais D'Or Orchestra ; B. A. Rolfe
06-24-1927; Edison; 11761; S-L-U-E--F-O-O-T; Palais D'Or Orchestra ; B. A. Rolfe
06-24-1927; Edison; 11762; Rosa Lee; Oreste Queensland Orchestra ; J. Donald Parker
06-24-1927; Edison; 11763; She's got "it"!; Arthur Fields ; Oreste Queensland Orchestra
06-24-1927; Gramophone; BK2189; Krakowiaczek; Stanisław Gruszczyński
06-24-1927; Gramophone; BK2190; Skowroneczek spiewa; Stanisław Gruszczyński
06-24-1927; Gramophone; BK2191; Mów do mnie jeszcze; Stanisław Gruszczyński
06-24-1927; Gramophone; BK2192; Skarbie mój; Stanisław Gruszczyński ; G. Singera
06-24-1927; Gramophone; Cc10967; Introductory speech for the English-speaking union; Sir Martin Conway
06-24-1927; Gramophone; CVE-39319; Introductory speech for the English-speaking Union; Sir Martin Conway
06-24-1927; Gramophone; Cc10970; Introductory speech for the English-speaking union; Sir Martin Conway
06-24-1927; Gennett; 12887; The bucket's got a hole in it; Tom Gates Orchestra
06-24-1927; Gennett; 12888; Love's melody; George Osborn Orchestra
06-24-1927; Gennett; 12889; Medley of old favorites, part 2; Billy Bishop
06-24-1927; Gennett; 12890; Are you lonesome tonight?; Edythe Handman
06-24-1927; Gennett; 12891; Nothin'; Florrie Le Vere
06-24-1927; Plaza; 7342; Love's old sweet song (Just a song at twilight); Edmund Cromwell
06-24-1927; Columbia (U.K.); WAX2892; Lift up your heads; B.B.C. Chorus ; BBC Symphony Orchestra ; Thomas Beecham
06-24-1927; Columbia (U.K.); WAX2893; And he shall purify; B.B.C. Chorus ; BBC Symphony Orchestra ; Thomas Beecham
06-24-1927; Columbia (U.K.); WL522; Je ne veux que des fleurs; Pierre Lamy
06-00-1927; Columbia (U.K.); WL523; Les nuits napolitaines; Pierre Lamy
06-24-1927; Columbia (U.K.); WL524; Les papillons de nuit; Pierre Lamy
06-00-1927; Columbia (U.K.); WL525; Donne-moi ton baiser; Pierre Lamy
06-24-1927; Columbia (U.K.); WL526; La mariage du pinson; Choeurs d'Enfants de l'Ecole Brise Miche
06-24-1927; Columbia (U.K.); WL527; Les reponses de grand'mère; Chœurs d'enfants de l'École Brise-Miche
06-24-1927; Columbia (U.K.); WL528; Le jeu du chemin de fer; Choeurs d'Enfants de l'Ecole Brise Miche
06-25-1927; Victor; CVE-38089; Liebestraum; Henry Gordon Thunder
06-25-1927; Victor; BVE-39064; I ain't got nobody; Coon-Sanders Original Nighthawk Orchestra
06-25-1927; Victor; BVE-39065; Roodles; Coon-Sanders Original Nighthawk Orchestra
06-25-1927; Brunswick; E23752-E23755; Mean dog blues; Five Pennies ; Red Nichols
06-25-1927; Brunswick; XE23756-XE23758; Fröhliche Lieder; Metropolitan Male Chorus
06-25-1927; Brunswick; XE23759-XE23761; In die Ferne; Metropolitan Male Chorus
06-25-1927; Brunswick; XE23762-XE23764; Morgenblätter; Metropolitan Male Chorus
06-25-1927; Brunswick; XE23765-XE23766; An der schänen blauen Donau; Metropolitan Male Chorus
06-25-1927; Gramophone; BK2196; Kolysanka; Stanisław Gruszczyński
06-25-1927; Gramophone; BK2199; Piosnka o komendancie; Stanisław Gruszczyński
06-26-1927; Gramophone; BJ825; Ay Liborio, no me mires; Francisco Sanz Baldoví
06-26-1927; Gramophone; BJ826; La risa del llanto; Francisco Sanz Baldoví
06-26-1927; Gennett; 12892; A symphony in rhythm; Bob Brose Orchestra
06-26-1927; Gennett; 12893; Gorgeous; Bob Brose Orchestra
06-26-1927; Gennett; 12894; Do you love me (When skies are grey); Russ Henegar Orchestra
06-26-1927; Gennett; 12895; Lovin' you; Russ Henegar Orchestra
06-27-1927; Victor; BVE-38090; Silver moon; Olive Kline ; Lambert Murphy
06-27-1927; Victor; BVE-38091; Long ago, sweetheart mine; Lambert Murphy
06-27-1927; Victor; BVE-38092; Boat song; Lambert Murphy
06-27-1927; Victor; BVE-38966; Parasol and fan; Alice Green
06-27-1927; Victor; BVE-38967; Ferry me across the water; Alice Green
06-27-1927; Victor; BVE-39293; Tommy Hill's favorite; Michael Coleman
06-27-1927; Victor; BVE-39294; The frieze breeches; Michael Coleman
06-27-1927; Victor; BVE-39295; Trim the velvet; Michael Coleman
06-27-1927; Victor; BVE-39296; Tobin's fancy; Michael Coleman
06-27-1927; Victor; BVE-39297; I'm gonna dance wit de guy wot brung me; Billy Murray ; Aileen Stanley
06-27-1927; Victor; BVE-[Unnumbered 1927-06-27-01]; [Unknown title(s)]; Jesse Crawford
06-27-1927; Victor; [Trial 1927-06-27-01]; The green hills of Ireland; Rosalie Madden
06-27-1927; Columbia; W144402; At sundown (When love is calling me home); Ruth Etting
06-27-1927; Columbia; W144403; Sing me a baby song; Ruth Etting
06-27-1927; Okeh; W81110; Bless her little heart; Ed Kirkeby Orchestra
06-27-1927; Okeh; W81111; Who-oo? You-oo! That's who!; Ed Kirkeby Orchestra
06-27-1927; Okeh; W81112; Pleading; Ted Wallace and his Orchestra [Ed Kirkeby Orchestra]
06-27-1927; Okeh; W81113; Love and kisses (From baby to you); Ted Wallace and his Orchestra [Ed Kirkeby Orchestra]
06-27-1927; Okeh; W81114; Hallelujah!; Art Kahn
06-27-1927; Okeh; W81115; Sometimes I'm happy; Art Kahn
06-27-1927; Brunswick; E23767-E23769; Pero Miguel, los hombres no lloran; Orquesta Cubana de Brunswick
06-27-1927; Brunswick; E23770-E23772; Alicia; Orquesta Cubana de Brunswick
06-27-1927; Edison; 11764; Oh how I love my boatman; Jack Kaufman
06-27-1927; Edison; 11765; I walked back from the buggy ride; Jack Kaufman
06-27-1927; Gramophone; BF804; Tha kopso röda (Θα κοψω ροδα); Petros Epitropakēs (Πέτρος Επιτροπακης) ; Antonis Kalampousis (Αντώνης Καλαμπούσης)
06-27-1927; Gennett; 12896; The west, a nest and you; Honey Alleyn ; Ted Kline
06-27-1927; Gennett; 12897; Goodbye sweetheart; Hal Keller and his Troupers
06-27-1927; Gennett; 12898; Billy Boy; Raymond Covert
06-27-1927; Gennett; 12899; Wandering boy blues; Clara Smith
06-27-1927; Gennett; 12900; Sand raisin' blues; Clara Smith
06-27-1927; Gennett; 12901; Un ta da da da; Tiny Parham's Black Patti Band
06-27-1927; Columbia (U.K.); WAX2890; And the glory of the Lord; B.B.C. Chorus ; BBC Symphony Orchestra ; Thomas Beecham
06-27-1927; Columbia (U.K.); WAX2891; For unto us a child is born; B.B.C. Chorus ; BBC Symphony Orchestra ; Thomas Beecham
06-27-1927; Columbia (U.K.); WAX2894; Merrie England, selection; Band of the Grenadier Guards [U.K] ; George Miller
06-27-1927; Columbia (U.K.); WAX2895; Merrie England, selection; Band of the Grenadier Guards [U.K] ; George Miller
06-27-1927; Columbia (U.K.); WAX2896; Princess of Kensington, selection; Band of the Grenadier Guards [U.K] ; George Miller
06-27-1927; Columbia (U.K.); WAX2897; Princess of Kensington, selection; Band of the Grenadier Guards [U.K] ; George Miller
06-27-1927; Columbia (U.K.); WAX2898; All we like sheep; B.B.C. Chorus ; BBC Symphony Orchestra ; Thomas Beecham
06-27-1927; Columbia (U.K.); WAX2899; Behold the lamb of God; B.B.C. Chorus ; BBC Symphony Orchestra ; Thomas Beecham
06-27-1927; Columbia (U.K.); WAX2900; Surely he hath borne; B.B.C. Chorus ; BBC Symphony Orchestra ; Thomas Beecham
06-27-1927; Columbia (U.K.); WAX2901; And with his stripes; B.B.C. Chorus ; BBC Symphony Orchestra ; Thomas Beecham
06-28-1927; Victor; CVE-38093; Kol Nidre; Nathaniel Shilkret ; Victor Salon Orchestra
06-28-1927; Victor; CVE-38094; Eili, Eili; Nathaniel Shilkret ; Victor Salon Orchestra
06-28-1927; Victor; BVE-38968; Yn iach i ti Gymru; Rhys Morgan
06-28-1927; Victor; BVE-38969; Y deryn pur; Rhys Morgan
06-28-1927; Victor; BVE-38970; The dove; Rhys Morgan
06-28-1927; Victor; BVE-38971; Adieu to dear Cambria; Rhys Morgan
06-28-1927; Victor; BVE-39066; At sundown; Jesse Crawford
06-28-1927; Victor; BVE-39067; Russian lullaby; Jesse Crawford
06-28-1927; Victor; BVE-39298; Ilka csárdás; Jos. Szigeti Hungarian Orchestra
06-28-1927; Victor; BVE-39299; Borozó csárdás egyveleg; Jos. Szigeti Hungarian Orchestra
06-28-1927; Victor; BVE-39423; The spoiled violin; Alice Green
06-28-1927; Victor; BVE-39424; A patriotic wish; Alice Green
06-28-1927; Victor; BVE-39425; Some questions; Alice Green
06-28-1927; Victor; BVE-39426; Holland song; Alice Green
06-28-1927; Victor; BVE-39427; Little Miss Echo; Alice Green
06-28-1927; Victor; BVE-39428; The telephone; Alice Green
06-28-1927; Victor; BVE-39600; Falusi muri; Jos. Szigeti Hungarian Orchestra
06-28-1927; Victor; BVE-39601; Pünkösdi csárdás; Jos. Szigeti Hungarian Orchestra
06-28-1927; Victor; BVE-39602; When you're in love; Alexander Kokos ; József Szigeti
06-28-1927; Victor; BVE-39603; Dream of autumn; Jos. Szigeti Hungarian Orchestra
06-28-1927; Victor; BVE-39604; Cradle song; H. C. Miller
06-28-1927; Victor; BVE-39605; Cradle song; H. C. Miller
06-28-1927; Victor; BVE-39606; Rolling down to Rio; H. C. Miller
06-28-1927; Victor; BVE-39607; Goin' home; H. C. Miller
06-28-1927; Victor; BVE-39608; Mother; Ruth Rodgers
